source,original_path,target_class,target_class_id,original_split,review_status,review_notes,review_path,review_label_path
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/003.jpg,brake_pad,0,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_pad/train__brake_pad__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE PAD/004.jpg,brake_pad,0,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_pad/train__brake_pad__004.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE ROTOR/001.jpg,brake_rotor,1,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_rotor/train__brake_rotor__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE ROTOR/002.jpg,brake_rotor,1,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_rotor/train__brake_rotor__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE ROTOR/003.jpg,brake_rotor,1,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_rotor/train__brake_rotor__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/BRAKE ROTOR/004.jpg,brake_rotor,1,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_rotor/train__brake_rotor__004.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/HEADLIGHTS/001.jpg,headlight,7,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/headlight/train__headlight__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/HEADLIGHTS/002.jpg,headlight,7,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/headlight/train__headlight__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/HEADLIGHTS/003.jpg,headlight,7,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/headlight/train__headlight__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/HEADLIGHTS/004.jpg,headlight,7,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/headlight/train__headlight__004.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/OIL FILTER/001.jpg,oil_filter,4,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/oil_filter/train__oil_filter__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/OIL FILTER/002.jpg,oil_filter,4,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/oil_filter/train__oil_filter__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/OIL FILTER/003.jpg,oil_filter,4,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/oil_filter/train__oil_filter__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/OIL FILTER/004.jpg,oil_filter,4,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/oil_filter/train__oil_filter__004.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/RADIATOR/001.jpg,radiator,6,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/radiator/train__radiator__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/RADIATOR/002.jpg,radiator,6,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/radiator/train__radiator__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/RADIATOR/003.jpg,radiator,6,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/radiator/train__radiator__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/train/RADIATOR/004.jpg,radiator,6,train,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/radiator/train__radiator__004.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/ALTERNATOR/1.jpg,alternator,3,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/alternator/valid__alternator__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/ALTERNATOR/2.jpg,alternator,3,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/alternator/valid__alternator__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/ALTERNATOR/3.jpg,alternator,3,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/alternator/valid__alternator__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/BRAKE CALIPER/1.jpg,brake_caliper,2,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_caliper/valid__brake_caliper__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/BRAKE CALIPER/2.jpg,brake_caliper,2,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_caliper/valid__brake_caliper__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/BRAKE CALIPER/3.jpg,brake_caliper,2,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_caliper/valid__brake_caliper__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/BRAKE PAD/1.jpg,brake_pad,0,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_pad/valid__brake_pad__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/BRAKE PAD/2.jpg,brake_pad,0,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_pad/valid__brake_pad__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/BRAKE PAD/3.jpg,brake_pad,0,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_pad/valid__brake_pad__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/BRAKE ROTOR/1.jpg,brake_rotor,1,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_rotor/valid__brake_rotor__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/BRAKE ROTOR/2.jpg,brake_rotor,1,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_rotor/valid__brake_rotor__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/BRAKE ROTOR/3.jpg,brake_rotor,1,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_rotor/valid__brake_rotor__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/HEADLIGHTS/1.jpg,headlight,7,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/headlight/valid__headlight__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/HEADLIGHTS/2.jpg,headlight,7,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/headlight/valid__headlight__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/HEADLIGHTS/3.jpg,headlight,7,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/headlight/valid__headlight__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/OIL FILTER/1.jpg,oil_filter,4,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/oil_filter/valid__oil_filter__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/OIL FILTER/2.jpg,oil_filter,4,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/oil_filter/valid__oil_filter__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/OIL FILTER/3.jpg,oil_filter,4,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/oil_filter/valid__oil_filter__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/RADIATOR/1.jpg,radiator,6,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/radiator/valid__radiator__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/RADIATOR/2.jpg,radiator,6,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/radiator/valid__radiator__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/valid/RADIATOR/3.jpg,radiator,6,valid,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/radiator/valid__radiator__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/ALTERNATOR/1.jpg,alternator,3,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/alternator/test__alternator__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/ALTERNATOR/2.jpg,alternator,3,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/alternator/test__alternator__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/ALTERNATOR/3.jpg,alternator,3,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/alternator/test__alternator__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/BRAKE CALIPER/1.jpg,brake_caliper,2,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_caliper/test__brake_caliper__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/BRAKE CALIPER/2.jpg,brake_caliper,2,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_caliper/test__brake_caliper__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/BRAKE CALIPER/3.jpg,brake_caliper,2,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_caliper/test__brake_caliper__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/BRAKE PAD/1.jpg,brake_pad,0,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_pad/test__brake_pad__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/BRAKE PAD/2.jpg,brake_pad,0,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_pad/test__brake_pad__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/BRAKE PAD/3.jpg,brake_pad,0,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_pad/test__brake_pad__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/BRAKE ROTOR/1.jpg,brake_rotor,1,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_rotor/test__brake_rotor__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/BRAKE ROTOR/2.jpg,brake_rotor,1,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_rotor/test__brake_rotor__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/BRAKE ROTOR/3.jpg,brake_rotor,1,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/brake_rotor/test__brake_rotor__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/HEADLIGHTS/1.jpg,headlight,7,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/headlight/test__headlight__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/HEADLIGHTS/2.jpg,headlight,7,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/headlight/test__headlight__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/HEADLIGHTS/3.jpg,headlight,7,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/headlight/test__headlight__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/OIL FILTER/1.jpg,oil_filter,4,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/oil_filter/test__oil_filter__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/OIL FILTER/2.jpg,oil_filter,4,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/oil_filter/test__oil_filter__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/OIL FILTER/3.jpg,oil_filter,4,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/oil_filter/test__oil_filter__003.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/RADIATOR/1.jpg,radiator,6,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/radiator/test__radiator__001.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/RADIATOR/2.jpg,radiator,6,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/radiator/test__radiator__002.jpg,
gpiosenka/car-parts-40-classes,car parts 50/test/RADIATOR/3.jpg,radiator,6,test,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/radiator/test__radiator__003.jpg,
khaledchawa/car-engine-bay-pictures,images/images/100.jpg,air_filter,5,unspecified,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/air_filter/unspecified__air_filter__001.jpg,ia-service/datasets/review/labels/air_filter/unspecified__air_filter__001.txt
khaledchawa/car-engine-bay-pictures,images/images/1000.jpg,air_filter,5,unspecified,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/air_filter/unspecified__air_filter__002.jpg,ia-service/datasets/review/labels/air_filter/unspecified__air_filter__002.txt
khaledchawa/car-engine-bay-pictures,images/images/1002.jpg,air_filter,5,unspecified,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/air_filter/unspecified__air_filter__003.jpg,ia-service/datasets/review/labels/air_filter/unspecified__air_filter__003.txt
khaledchawa/car-engine-bay-pictures,images/images/1005.jpg,air_filter,5,unspecified,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/air_filter/unspecified__air_filter__004.jpg,ia-service/datasets/review/labels/air_filter/unspecified__air_filter__004.txt
khaledchawa/car-engine-bay-pictures,images/images/1006.jpg,air_filter,5,unspecified,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/air_filter/unspecified__air_filter__005.jpg,ia-service/datasets/review/labels/air_filter/unspecified__air_filter__005.txt
khaledchawa/car-engine-bay-pictures,images/images/1008.jpg,air_filter,5,unspecified,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/air_filter/unspecified__air_filter__006.jpg,ia-service/datasets/review/labels/air_filter/unspecified__air_filter__006.txt
khaledchawa/car-engine-bay-pictures,images/images/1010.jpg,air_filter,5,unspecified,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/air_filter/unspecified__air_filter__007.jpg,ia-service/datasets/review/labels/air_filter/unspecified__air_filter__007.txt
khaledchawa/car-engine-bay-pictures,images/images/1011.jpg,air_filter,5,unspecified,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/air_filter/unspecified__air_filter__008.jpg,ia-service/datasets/review/labels/air_filter/unspecified__air_filter__008.txt
khaledchawa/car-engine-bay-pictures,images/images/1016.jpg,air_filter,5,unspecified,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/air_filter/unspecified__air_filter__009.jpg,ia-service/datasets/review/labels/air_filter/unspecified__air_filter__009.txt
khaledchawa/car-engine-bay-pictures,images/images/1024.jpg,air_filter,5,unspecified,APPROVED,Revision visual humana aprobada,ia-service/datasets/review/images/air_filter/unspecified__air_filter__010.jpg,ia-service/datasets/review/labels/air_filter/unspecified__air_filter__010.txt
